codgeo;libgeo;an;p_pop
01001;L'Abergement-Clémenciat;2021;832
01002;L'Abergement-de-Varey;2021;267
01004;Ambérieu-en-Bugey;2021;14854
01005;Ambérieux-en-Dombes;2021;1897
01006;Ambléon;2021;113
01007;Ambronay;2021;2833
01008;Ambutrix;2021;768
01009;Andert-et-Condon;2021;322
01010;Anglefort;2021;1125
01011;Apremont;2021;383
01012;Aranc;2021;327
01013;Arandas;2021;141
01014;Arbent;2021;3409
01015;Arboys en Bugey;2021;667
01016;Arbigny;2021;459
01017;Argis;2021;432
01019;Armix;2021;26
01021;Ars-sur-Formans;2021;1498
01022;Artemare;2021;1177
01023;Asnières-sur-Saône;2021;77
01024;Attignat;2021;3336
01025;Bâgé-Dommartin;2021;4065
01026;Bâgé-le-Châtel;2021;979
01027;Balan;2021;2692
01028;Baneins;2021;621
01029;Beaupont;2021;700
01030;Beauregard;2021;830
01031;Bellignat;2021;3636
01032;Béligneux;2021;3434
01033;Valserhône;2021;16295
01034;Belley;2021;9239
01035;Belleydoux;2021;306
01036;Valromey-sur-Séran;2021;1342
01037;Bénonces;2021;310
01038;Bény;2021;764
01040;Béréziat;2021;480
01041;Bettant;2021;749
01042;Bey;2021;290
01043;Beynost;2021;4877
01044;Billiat;2021;626
01045;Birieux;2021;284
01046;Biziat;2021;904
01047;Blyes;2021;1292
01049;La Boisse;2021;3361
01050;Boissey;2021;386
01051;Bolozon;2021;95
01052;Bouligneux;2021;327
01053;Bourg-en-Bresse;2021;41525
01054;Bourg-Saint-Christophe;2021;1517
01056;Boyeux-Saint-Jérôme;2021;356
01057;Boz;2021;510
01058;Brégnier-Cordon;2021;818
01060;Brénod;2021;518
01061;Brens;2021;1129
01062;Bressolles;2021;978
01063;Brion;2021;576
01064;Briord;2021;1099
01065;Buellas;2021;1851
01066;La Burbanche;2021;95
01067;Ceignes;2021;261
01068;Cerdon;2021;761
01069;Certines;2021;1505
01071;Cessy;2021;5307
01072;Ceyzériat;2021;3285
01073;Ceyzérieu;2021;992
01074;Chalamont;2021;2559
01075;Chaleins;2021;1430
01076;Chaley;2021;124
01077;Challes-la-Montagne;2021;189
01078;Challex;2021;1619
01079;Champagne-en-Valromey;2021;826
01080;Champdor-Corcelles;2021;645
01081;Champfromier;2021;718
01082;Chanay;2021;616
01083;Chaneins;2021;1003
01084;Chanoz-Châtenay;2021;931
01085;La Chapelle-du-Châtelard;2021;394
01087;Charix;2021;279
01088;Charnoz-sur-Ain;2021;898
01089;Château-Gaillard;2021;2287
01090;Châtenay;2021;360
01092;Châtillon-la-Palud;2021;1649
01093;Châtillon-sur-Chalaronne;2021;5059
01094;Chavannes-sur-Reyssouze;2021;767
01095;Nivigne et Suran;2021;832
01096;Chaveyriat;2021;1036
01098;Chazey-Bons;2021;1188
01099;Chazey-sur-Ain;2021;1600
01100;Cheignieu-la-Balme;2021;131
01101;Chevillard;2021;150
01102;Chevroux;2021;973
01103;Chevry;2021;2261
01104;Chézery-Forens;2021;445
01105;Civrieux;2021;1916
01106;Cize;2021;176
01107;Cleyzieu;2021;140
01108;Coligny;2021;1227
01109;Collonges;2021;2249
01110;Colomieu;2021;163
01111;Conand;2021;135
01112;Condamine;2021;473
01113;Condeissiat;2021;815
01114;Confort;2021;685
01115;Confrançon;2021;1348
01116;Contrevoz;2021;493
01117;Conzieu;2021;149
01118;Corbonod;2021;1296
01121;Corlier;2021;117
01123;Cormoranche-sur-Saône;2021;1162
01124;Cormoz;2021;703
01125;Corveissiat;2021;596
01127;Courmangoux;2021;504
01128;Courtes;2021;297
01129;Crans;2021;306
01130;Bresse Vallons;2021;2380
01133;Cressin-Rochefort;2021;389
01134;Crottet;2021;1818
01135;Crozet;2021;2288
01136;Cruzilles-lès-Mépillat;2021;943
01138;Culoz-Béon;2021;3426
01139;Curciat-Dongalon;2021;451
01140;Curtafond;2021;784
